zone,n,fpr,fnr,tp,fp,tn,fn
Foothill,209,0.4035,0.6526,33,46,68,62
Harbor,213,0.3667,0.5806,39,44,76,54
N Hollywood,214,0.359,0.6392,35,42,75,62
Hollenbeck,213,0.3445,0.5957,38,41,78,56
Devonshire,212,0.3419,0.5684,41,40,77,54
77th Street,214,0.3388,0.5806,39,41,80,54
Van Nuys,214,0.3387,0.7,27,42,82,63
Central,214,0.3333,0.5464,44,39,78,53
Rampart,214,0.3193,0.7158,27,38,81,68
Mission,213,0.319,0.701,29,37,79,68
Northeast,212,0.3125,0.6786,27,40,88,57
Olympic,213,0.3025,0.617,36,36,83,58
Hollywood,214,0.2917,0.5851,39,35,85,55
Southwest,214,0.2773,0.6105,37,33,86,58
Newton,214,0.2727,0.6129,36,33,88,57
Topanga,214,0.2719,0.66,34,31,83,66
Southeast,214,0.2605,0.7158,27,31,88,68
Pacific,214,0.2576,0.622,31,34,98,51
West LA,213,0.2562,0.6739,30,31,90,62
Wilshire,214,0.2397,0.5806,39,29,92,54
West Valley,214,0.2114,0.6484,32,26,97,59
