feature,importance
crime_days_last14,0.0165254
evening_crimes_roll7,0.016550904
area_crime_t1,0.0168856
peak_crimes_roll7,0.017155986
dow_sin,0.017213607
peak_crimes_t1,0.017510468
is_weekend,0.0175737
days_since_crime,0.017711822
ewma_14d,0.017822238
ewma_7d,0.017869292
hist_crime_rate,0.017975686
crime_t1,0.01819835
month_cos,0.018239971
roll7_max,0.018746968
day_of_year_cos,0.019639485
hist_mean_crime,0.02140201
evening_crimes_t1,0.024656387
day_of_year_sin,0.025998786
month_sin,0.06599897
season,0.113812
