cluster,lat,lon,size,method
1,33.73636846435101,-118.29326718464351,1094,hdbscan
5,33.78435992167102,-118.26501553524804,766,hdbscan
2,34.25671917475728,-118.2991359223301,412,hdbscan
260,34.01619340659341,-118.34847115384616,364,hdbscan
12,34.303514417177915,-118.44357883435582,326,hdbscan
145,34.20303114754098,-118.424751147541,305,hdbscan
127,34.209110984848486,-118.38884053030303,264,hdbscan
95,34.199623076923075,-118.53276846153845,260,hdbscan
193,34.16279384615385,-118.3713603846154,260,hdbscan
4,33.79103107569721,-118.29922709163347,251,hdbscan
285,34.09665263157895,-118.2848133603239,247,hdbscan
162,34.022993644067796,-118.21288347457627,236,hdbscan
400,33.9452926724138,-118.27396163793101,232,hdbscan
36,34.085484375,-118.17697857142856,224,hdbscan
30,33.99199308755761,-118.41741013824885,217,hdbscan
219,34.04377652582159,-118.21087840375586,213,hdbscan
189,34.1984,-118.44721220657277,213,hdbscan
135,34.15363301886792,-118.45615141509431,212,hdbscan
249,33.98005876777251,-118.33154976303318,211,hdbscan
37,34.262146889952156,-118.49704593301436,209,hdbscan
404,34.06099803921568,-118.2615955882353,204,hdbscan
383,34.02422524752475,-118.27066782178218,202,hdbscan
130,34.146836224489796,-118.40661071428572,196,hdbscan
3,33.82882552083333,-118.30493437499997,192,hdbscan
65,34.16842539682539,-118.61172486772485,189,hdbscan
157,34.198110106382984,-118.46925053191488,188,hdbscan
103,34.10922956989248,-118.19475752688173,186,hdbscan
31,33.97638756756757,-118.42005351351352,185,hdbscan
14,33.95846229508197,-118.43315683060108,183,hdbscan
0,34.04301675977654,-118.53551731843574,179,hdbscan
210,34.04153,-118.37956,170,hdbscan
50,34.257349112426034,-118.46905029585798,169,hdbscan
89,34.220798214285715,-118.36935416666668,168,hdbscan
426,34.047807142857145,-118.28689404761904,168,hdbscan
112,34.26174248366013,-118.43028104575166,153,hdbscan
67,34.16915921052632,-118.52094605263157,152,hdbscan
213,34.02510070921986,-118.40660709219857,141,hdbscan
230,34.0644417266187,-118.3480237410072,139,hdbscan
410,34.05231294964028,-118.26688705035973,139,hdbscan
287,34.08662028985508,-118.28779202898549,138,hdbscan
161,34.03171111111111,-118.19898740740742,135,hdbscan
263,34.03187777777778,-118.33011333333334,135,hdbscan
201,34.04594732824428,-118.45161221374045,131,hdbscan
272,34.04554921875,-118.3419046875,128,hdbscan
133,34.1410761904762,-118.37024206349204,126,hdbscan
387,34.07488880000001,-118.2899232,125,hdbscan
433,33.98097119999999,-118.27827279999998,125,hdbscan
224,34.055750399999994,-118.37981679999999,125,hdbscan
21,33.95490564516128,-118.38362016129031,124,hdbscan
326,34.093997580645166,-118.32704112903225,124,hdbscan
113,34.27147868852459,-118.41697213114753,122,hdbscan
97,34.20628099173553,-118.57529008264463,121,hdbscan
294,33.93249166666667,-118.24935666666667,120,hdbscan
451,34.05141478260869,-118.27966869565216,115,hdbscan
340,34.10366782608696,-118.33201913043477,115,hdbscan
28,34.254197391304345,-118.5922643478261,115,hdbscan
342,34.032899115044245,-118.28131327433628,113,hdbscan
430,34.056114159292044,-118.23753982300882,113,hdbscan
87,34.1144389380531,-118.26791238938054,113,hdbscan
216,34.03513963963964,-118.21380090090089,111,hdbscan
437,34.05848636363637,-118.30163181818182,110,hdbscan
476,34.049783486238525,-118.25897706422018,109,hdbscan
131,34.17199357798165,-118.46609082568811,109,hdbscan
341,34.10087431192661,-118.34827064220187,109,hdbscan
39,34.13788888888889,-118.21761574074074,108,hdbscan
293,33.93216574074075,-118.23457407407406,108,hdbscan
238,34.073210280373836,-118.36431495327103,107,hdbscan
183,34.00348037383178,-118.43287757009348,107,hdbscan
454,34.052246728971966,-118.24352523364487,107,hdbscan
351,34.04272952380952,-118.30595047619047,105,hdbscan
74,33.98691634615385,-118.47280288461539,104,hdbscan
17,33.96004705882352,-118.39990490196075,102,hdbscan
290,34.102930693069304,-118.3042732673267,101,hdbscan
240,34.083755,-118.35614100000001,100,hdbscan
508,34.044387,-118.25218300000004,100,hdbscan
64,34.245149999999995,-118.42021599999998,100,hdbscan
258,34.003121,-118.24953799999997,100,hdbscan
198,34.16846464646465,-118.37649393939394,99,hdbscan
115,34.18754444444444,-118.59976363636365,99,hdbscan
412,34.022172727272725,-118.25460000000001,99,hdbscan
318,33.959794949494956,-118.26883737373738,99,hdbscan
16,33.97497070707071,-118.37330606060608,99,hdbscan
365,34.00585656565656,-118.26574646464644,99,hdbscan
81,34.22633838383839,-118.59053232323232,99,hdbscan
6,34.278273469387756,-118.5677693877551,98,hdbscan
357,34.032972916666665,-118.305275,96,hdbscan
102,34.278191578947364,-118.40250526315789,95,hdbscan
496,33.979179787234045,-118.28269361702127,94,hdbscan
459,34.054229787234036,-118.27720425531915,94,hdbscan
93,34.24109042553191,-118.53577765957444,94,hdbscan
254,34.0839043478261,-118.34423804347826,92,hdbscan
302,33.945783695652175,-118.23367717391304,92,hdbscan
507,34.04498913043477,-118.24366521739128,92,hdbscan
106,34.07426630434783,-118.2148684782609,92,hdbscan
46,34.24351195652174,-118.55908152173916,92,hdbscan
59,33.98727934782609,-118.44207065217391,92,hdbscan
239,34.07441098901099,-118.35625714285713,91,hdbscan
484,34.048975555555565,-118.25500444444444,90,hdbscan
307,33.945047191011234,-118.26873820224719,89,hdbscan
516,34.04660561797753,-118.24879887640449,89,hdbscan
53,33.999791011235956,-118.46475280898878,89,hdbscan
490,33.970806741573035,-118.28551573033707,89,hdbscan
292,34.098147727272725,-118.2968431818182,88,hdbscan
209,34.03083295454546,-118.39570568181817,88,hdbscan
492,34.04180113636364,-118.25591704545455,88,hdbscan
414,34.066326136363635,-118.27002500000002,88,hdbscan
295,34.03596551724139,-118.29630919540227,87,hdbscan
372,34.007029069767455,-118.29082906976747,86,hdbscan
356,34.05033837209303,-118.30911395348838,86,hdbscan
91,34.21823023255814,-118.60197558139532,86,hdbscan
94,34.2254046511628,-118.53555465116277,86,hdbscan
244,34.07306511627907,-118.37906046511627,86,hdbscan
279,33.97747294117647,-118.30889058823527,85,hdbscan
337,34.103575294117654,-118.32291647058823,85,hdbscan
84,34.1073505882353,-118.25337882352942,85,hdbscan
347,34.101598809523814,-118.33883333333333,84,hdbscan
506,34.04351547619048,-118.24171666666669,84,hdbscan
167,34.2308488095238,-118.46420595238095,84,hdbscan
455,34.04623253012049,-118.25848795180725,83,hdbscan
425,34.050971084337355,-118.29906506024098,83,hdbscan
126,34.158783132530125,-118.44046144578314,83,hdbscan
143,34.167629268292686,-118.40025121951216,82,hdbscan
491,34.03808658536585,-118.25863048780487,82,hdbscan
370,34.072298780487806,-118.30049756097563,82,hdbscan
114,34.18331707317073,-118.59296951219514,82,hdbscan
203,34.04217283950617,-118.45957407407408,81,hdbscan
118,34.19250987654321,-118.59196543209876,81,hdbscan
259,34.004874074074074,-118.2436049382716,81,hdbscan
406,33.96593,-118.2739,80,hdbscan
413,34.070239240506325,-118.27940632911394,79,hdbscan
319,34.07786455696203,-118.26502911392404,79,hdbscan
269,33.99596835443038,-118.3170594936709,79,hdbscan
452,33.94602151898733,-118.28261518987343,79,hdbscan
463,34.04803205128205,-118.26336538461538,78,hdbscan
364,34.0023217948718,-118.25756538461535,78,hdbscan
137,34.14981923076923,-118.4416423076923,78,hdbscan
479,34.04806233766232,-118.25763766233767,77,hdbscan
60,34.18760389610388,-118.62468961038957,77,hdbscan
